[]
[1279329, 2457990, 193665, 1002219, 2291382, 8788, 4077632, 814499]
[1118160, 2641763]
[4295829, -4295838] 1.2000000000000002
[] 1.0
[4295829, -4295837] 224.55
[-4295837, 4295826] 0.9500000000000001
[4295829, -4295840] 60.900000000000006
[-4295837, 4295828] 1.85
[4295829, -4295841] 8.8
[-4295837, 4295830] 13.0
[4295829, -4295843] 0.05
[-4295837, 4295834] 2.5500000000000003
[4295829, -4295850] 4.95
[-4295837, 4295839] 3.6
[-4295837, 4295840] 0.2
[-4295826, 4295855] 5.0
[4295829, -4295826] 6.0
[-4295826, 4295860] 0.15000000000000002
[4295829, -4295828] 3165.8
[4295829, -4295827] 4.0
[-4295829, 4295827] 12.0
[4295829, -4295829] 856.45
[-4295829, 4295829] 1.05
[4295829, -4295833] 1.0
[-4295860, -4295844] 1.0
[-4295837, 4295859] 13.0
[-4295826, -4295844] 4.0
[-4295837, 4295858] 10.0
[-4295837, 4295861] 1.0
[-4295837, 4295860] 1.0
[-4295840, 4295828] 0.30000000000000004
[-4295840, 4295837] 0.45
[4295829, -4295856] 3.0
[-4295826] 21.0
[-4295837, 4295844] 9.0
[-4295829] 3.2
[-4295837, 4295847] 13.4
[4295829, -4295860] 971.0
[-4295829, 4295859] 1.35
[-4295837, 4295851] 2.0
[-4295837, 4295853] 2.0
[-4295837, 4295852] 4.1000000000000005
[-4295837] 204.0
[-4295837, 4295855] 5.0
[-4295837, 4295854] 3.0
[-4295837, 4295857] 1.0
[-4295829, -4295847] 2.0
[-4295840] 13.0
[-4295829, -4295850] 19.0
[-4295840, 4295858] 4.0
[-4295860, 4295837] 0.15000000000000002
[-4295837, -4295857] 1.0
[-4295840, 4295857] 1.0
[-4295860, 4295840] 1.0
[4295829, 4295849] 6.0
[4295829, 4295848] 1.0
[-4295840, 4295859] 1.0
[-4295860, 4295844] 1.0
[-4295829, -4295856] 3.0
[-4295829, -4295855] 2.0
[-4295860, 4295845] 1.0
[-4295829, -4295860] 415.0
[-4295860, 4295847] 4.0
[4295829, 4295856] 0.1
[4295829, 4295859] 0.1
[4295829, 4295829] 0.6000000000000001
[4295829, 4295831] 4.0
[-4295829, -4295833] 1.0
[-4295837, -4295844] 9.0
[-4295860] 7.0
[-4295860, 4295826] 0.75
[4295829, 4295835] 3.0
[-4295829, -4295837] 148.85
[-4295840, 4295845] 1.0
[-4295860, 4295828] 0.25
[-4295829, -4295840] 50.400000000000006
[4295829, 4295836] 14.05
[-4295840, 4295847] 2.0
[4295829, 4295838] 0.4
[-4295840, 4295851] 2.0
[4295829, 4295843] 0.05
[-4295826, 4295837] 0.35000000000000003
[-4295826, 4295844] 4.0
[-4295829, -4295826] 24.0
[-4295826, 4295847] 3.0
[-4295829, -4295827] 4.0
[4295829, 4295827] 13.0
[-4295826, 4295851] 2.0
[-4295829, -4295829] 133.70000000000002
[-4295860, 4295851] 2.0
[-4295826, 4295826] 1.3
[-4295860, 4295855] 3.0
[4295829] 0.15000000000000002
[-4295826, 4295828] 11.0
[-4295860, 4295860] 1.0
